taxon_id	abundance
1226752	0.004368303866790805
1210088	0.0009843852455973562
101510	0.0017614918729834035
1219019	0.0016078406203054562
1219020	9.177517042941839e-05
1219027	0.0013904047420088446
1032480	0.0003584745042211548
471857	0.001107704528088359
469371	0.0010289122231147015
471852	0.0005463255403060113
469383	0.0011629710431546013
485918	0.0028174237161100145
1400522	0.0024646589956096457
1120967	0.008938974988507249
376686	0.0011155326170071813
1121378	0.0001268479567265938
1121917	0.0006928235664270879
1160707	0.00475083896233866
702450	0.012057841498813636
1122915	0.004398995178616032
1122917	0.0005660904502316428
1122920	0.00031973598850731374
1220566	0.0010517394840116239
1123252	0.002700192271692944
509191	0.0004358508730142664
720554	0.0012811951695694476
203119	0.0010038549514620667
1144275	0.0008445339781444527
886293	0.001520212356388832
1385368	0.01964631621068884
1385369	0.03075333993091758
1121477	0.0020582209230902105
279238	0.0005371254739485309
1314749	0.0024734471342065588
666681	0.010135189796174263
1266925	0.010777342919895221
323848	0.16883334122003146
883126	0.01600140790965695
675524	0.000299083098621778
1120977	0.002221673100012054
553217	0.0001545415409887882
1121015	0.0009633428513725116
240016	0.012883369799738238
